Country or Area,Subgroup,Year,Unit,Value
Algeria,Female 15+ yr,2005,Percent,29.9
Algeria,Female 15+ yr,2004,Percent,27.4
Algeria,Female 15+ yr,2003,Percent,25.1
Algeria,Female 15+ yr,2002,Percent,23.9
Algeria,Female 15+ yr,2001,Percent,22.7
Algeria,Female 15+ yr,2000,Percent,21.3
Algeria,Female 15+ yr,1999,Percent,20.6
Algeria,Female 15+ yr,1998,Percent,21.5
Algeria,Female 15+ yr,1997,Percent,20.1
Algeria,Female 15+ yr,1996,Percent,18.6
Algeria,Female 15+ yr,1995,Percent,18.1
Algeria,Female 15+ yr,1994,Percent,18.1
Algeria,Female 15+ yr,1993,Percent,17.6
Algeria,Female 15+ yr,1992,Percent,17
Algeria,Female 15+ yr,1991,Percent,16.5
Algeria,Male 15+ yr,2006,Percent,68.7
Algeria,Male 15+ yr,2005,Percent,68.3
Algeria,Male 15+ yr,2004,Percent,64.4
Algeria,Male 15+ yr,2003,Percent,61.5
Algeria,Male 15+ yr,2002,Percent,59.8
Algeria,Male 15+ yr,2001,Percent,58.3
Algeria,Male 15+ yr,2000,Percent,56.8
Algeria,Male 15+ yr,1999,Percent,56.8
Algeria,Male 15+ yr,1998,Percent,60.9
Algeria,Male 15+ yr,1997,Percent,59
Algeria,Male 15+ yr,1996,Percent,57
Algeria,Male 15+ yr,1995,Percent,56.9
Algeria,Male 15+ yr,1994,Percent,58.6
Algeria,Male 15+ yr,1993,Percent,58.5
Algeria,Male 15+ yr,1992,Percent,58.2
Algeria,Male 15+ yr,1991,Percent,58.1
Angola,Female 15+ yr,2006,Percent,67.5
Angola,Female 15+ yr,2005,Percent,67.8
Angola,Female 15+ yr,2004,Percent,67.4
Angola,Female 15+ yr,2003,Percent,66.9
Angola,Female 15+ yr,2002,Percent,67.6
Angola,Female 15+ yr,2001,Percent,67.3
Angola,Female 15+ yr,2000,Percent,67.4
Angola,Female 15+ yr,1999,Percent,67.4
Angola,Female 15+ yr,1998,Percent,67.4
Angola,Female 15+ yr,1997,Percent,67.9
Angola,Female 15+ yr,1996,Percent,68.8
Angola,Female 15+ yr,1995,Percent,68.6
Angola,Female 15+ yr,1994,Percent,67.3
Angola,Female 15+ yr,1993,Percent,66.1
Angola,Female 15+ yr,1992,Percent,66.7
Angola,Female 15+ yr,1991,Percent,67.3
Angola,Male 15+ yr,2006,Percent,83
Angola,Male 15+ yr,2005,Percent,83.3
Angola,Male 15+ yr,2004,Percent,82.8
Angola,Male 15+ yr,2003,Percent,81.6
Angola,Male 15+ yr,2002,Percent,82.6
Angola,Male 15+ yr,2001,Percent,82.8
Angola,Male 15+ yr,2000,Percent,82.6
Angola,Male 15+ yr,1999,Percent,82.3
Angola,Male 15+ yr,1998,Percent,82.6
Angola,Male 15+ yr,1997,Percent,83.4
Angola,Male 15+ yr,1996,Percent,84.2
Angola,Male 15+ yr,1995,Percent,84.1
Angola,Male 15+ yr,1994,Percent,80.5
Angola,Male 15+ yr,1993,Percent,80.7
Angola,Male 15+ yr,1992,Percent,79.4
Angola,Male 15+ yr,1991,Percent,81.5
Argentina,Female 15+ yr,2006,Percent,49
Argentina,Female 15+ yr,2005,Percent,48.1
Argentina,Female 15+ yr,2004,Percent,47.1
Argentina,Female 15+ yr,2003,Percent,46.7
Argentina,Female 15+ yr,2002,Percent,43.6
Argentina,Female 15+ yr,2001,Percent,42.6
Argentina,Female 15+ yr,2000,Percent,41.5
Argentina,Female 15+ yr,1999,Percent,40.1
Argentina,Female 15+ yr,1998,Percent,39.4
Argentina,Female 15+ yr,1997,Percent,39.2
Argentina,Female 15+ yr,1996,Percent,38.6
Argentina,Female 15+ yr,1995,Percent,37.4
Argentina,Female 15+ yr,1994,Percent,36.7
Argentina,Female 15+ yr,1993,Percent,36.2
Argentina,Female 15+ yr,1992,Percent,35.9
Argentina,Female 15+ yr,1991,Percent,35.8
Argentina,Male 15+ yr,2006,Percent,71.5
Argentina,Male 15+ yr,2005,Percent,71.5
Argentina,Male 15+ yr,2004,Percent,71.5
Argentina,Male 15+ yr,2003,Percent,71.7
Argentina,Male 15+ yr,2002,Percent,69.4
Argentina,Male 15+ yr,2001,Percent,69.9
Argentina,Male 15+ yr,2000,Percent,70.1
Argentina,Male 15+ yr,1999,Percent,69.7
Argentina,Male 15+ yr,1998,Percent,70.3
Argentina,Male 15+ yr,1997,Percent,70.8
Argentina,Male 15+ yr,1996,Percent,70.8
Argentina,Male 15+ yr,1995,Percent,70.1
Argentina,Male 15+ yr,1994,Percent,71.2
Argentina,Male 15+ yr,1993,Percent,71.7
Argentina,Male 15+ yr,1992,Percent,72.5
Argentina,Male 15+ yr,1991,Percent,73
Armenia,Female 15+ yr,2006,Percent,43.5
Armenia,Female 15+ yr,2005,Percent,43.7
Armenia,Female 15+ yr,2004,Percent,43.8
Armenia,Female 15+ yr,2003,Percent,45.9
Armenia,Female 15+ yr,2002,Percent,45.7
Armenia,Female 15+ yr,2001,Percent,45.4
Armenia,Female 15+ yr,2000,Percent,45.1
Armenia,Female 15+ yr,1999,Percent,45
Armenia,Female 15+ yr,1998,Percent,45.2
Armenia,Female 15+ yr,1997,Percent,45
Armenia,Female 15+ yr,1996,Percent,47.7
Armenia,Female 15+ yr,1995,Percent,50.2
Armenia,Female 15+ yr,1994,Percent,53
Armenia,Female 15+ yr,1993,Percent,55.9
Armenia,Female 15+ yr,1992,Percent,58.8
Armenia,Female 15+ yr,1991,Percent,61.3
Armenia,Male 15+ yr,2006,Percent,54.8
Armenia,Male 15+ yr,2005,Percent,55.1
Armenia,Male 15+ yr,2004,Percent,55.3
Armenia,Male 15+ yr,2003,Percent,57.7
Armenia,Male 15+ yr,2002,Percent,58.2
Armenia,Male 15+ yr,2001,Percent,58.5
Armenia,Male 15+ yr,2000,Percent,58.9
Armenia,Male 15+ yr,1999,Percent,59.4
Armenia,Male 15+ yr,1998,Percent,60.5
Armenia,Male 15+ yr,1997,Percent,60.9
Armenia,Male 15+ yr,1996,Percent,64
Armenia,Male 15+ yr,1995,Percent,65.8
Armenia,Male 15+ yr,1994,Percent,68.3
Armenia,Male 15+ yr,1993,Percent,70.8
Armenia,Male 15+ yr,1992,Percent,73.5
Armenia,Male 15+ yr,1991,Percent,74.7
Australia,Female 15+ yr,2006,Percent,53.6
Australia,Female 15+ yr,2005,Percent,53.1
Australia,Female 15+ yr,2004,Percent,52.6
Australia,Female 15+ yr,2003,Percent,51.7
Australia,Female 15+ yr,2002,Percent,51.7
Australia,Female 15+ yr,2001,Percent,51.4
Australia,Female 15+ yr,2000,Percent,51.3
Australia,Female 15+ yr,1999,Percent,49.6
Australia,Female 15+ yr,1998,Percent,49.5
Australia,Female 15+ yr,1997,Percent,48.3
Australia,Female 15+ yr,1996,Percent,49
Australia,Female 15+ yr,1995,Percent,49.1
Australia,Female 15+ yr,1994,Percent,47
Australia,Female 15+ yr,1993,Percent,46.1
Australia,Female 15+ yr,1992,Percent,46.4
Australia,Female 15+ yr,1991,Percent,46.8
Australia,Male 15+ yr,2006,Percent,66.4
Australia,Male 15+ yr,2005,Percent,66.8
Australia,Male 15+ yr,2004,Percent,66.8
Australia,Male 15+ yr,2003,Percent,66.5
Australia,Male 15+ yr,2002,Percent,66.6
Australia,Male 15+ yr,2001,Percent,66.6
Australia,Male 15+ yr,2000,Percent,67.2
Australia,Male 15+ yr,1999,Percent,66.8
Australia,Male 15+ yr,1998,Percent,66.3
Australia,Male 15+ yr,1997,Percent,65.8
Australia,Male 15+ yr,1996,Percent,67
Australia,Male 15+ yr,1995,Percent,66.9
Australia,Male 15+ yr,1994,Percent,65.8
Australia,Male 15+ yr,1993,Percent,64.6
Australia,Male 15+ yr,1992,Percent,65.4
Australia,Male 15+ yr,1991,Percent,66.8
Austria,Female 15+ yr,2006,Percent,47.9
Austria,Female 15+ yr,2005,Percent,47.3
Austria,Female 15+ yr,2004,Percent,47.1
Austria,Female 15+ yr,2003,Percent,48.5
Austria,Female 15+ yr,2002,Percent,46.2
Austria,Female 15+ yr,2001,Percent,47
Austria,Female 15+ yr,2000,Percent,46.5
Austria,Female 15+ yr,1999,Percent,46.4
Austria,Female 15+ yr,1998,Percent,45.9
Austria,Female 15+ yr,1997,Percent,45.8
Austria,Female 15+ yr,1996,Percent,45.7
Austria,Female 15+ yr,1995,Percent,46.2
Austria,Female 15+ yr,1994,Percent,46.1
Austria,Female 15+ yr,1993,Percent,43.4
Austria,Female 15+ yr,1992,Percent,43.2
Austria,Female 15+ yr,1991,Percent,42.1
Austria,Male 15+ yr,2006,Percent,62.7
Austria,Male 15+ yr,2005,Percent,62.7
Austria,Male 15+ yr,2004,Percent,63.3
Austria,Male 15+ yr,2003,Percent,65.5
Austria,Male 15+ yr,2002,Percent,62.8
Austria,Male 15+ yr,2001,Percent,65.8
Austria,Male 15+ yr,2000,Percent,66.2
Austria,Male 15+ yr,1999,Percent,66.3
Austria,Male 15+ yr,1998,Percent,66.1
Austria,Male 15+ yr,1997,Percent,66.5
Austria,Male 15+ yr,1996,Percent,66.8
Austria,Male 15+ yr,1995,Percent,68
Austria,Male 15+ yr,1994,Percent,67.6
Austria,Male 15+ yr,1993,Percent,67.1
Austria,Male 15+ yr,1992,Percent,67.7
Austria,Male 15+ yr,1991,Percent,67.6
Azerbaijan,Female 15+ yr,2006,Percent,56
Azerbaijan,Female 15+ yr,2005,Percent,55.1
Azerbaijan,Female 15+ yr,2004,Percent,53.4
Azerbaijan,Female 15+ yr,2003,Percent,53.5
Azerbaijan,Female 15+ yr,2002,Percent,53.2
Azerbaijan,Female 15+ yr,2001,Percent,52.8
Azerbaijan,Female 15+ yr,2000,Percent,52.5
Azerbaijan,Female 15+ yr,1999,Percent,52.2
Azerbaijan,Female 15+ yr,1998,Percent,51.6
Azerbaijan,Female 15+ yr,1997,Percent,51.2
Azerbaijan,Female 15+ yr,1996,Percent,50.5
Azerbaijan,Female 15+ yr,1995,Percent,50.3
Azerbaijan,Female 15+ yr,1994,Percent,50.8
Azerbaijan,Female 15+ yr,1993,Percent,51.6
Azerbaijan,Female 15+ yr,1992,Percent,52.2
Azerbaijan,Female 15+ yr,1991,Percent,52.2
Azerbaijan,Male 15+ yr,2006,Percent,67
Azerbaijan,Male 15+ yr,2005,Percent,66.8
Azerbaijan,Male 15+ yr,2004,Percent,65.5
Azerbaijan,Male 15+ yr,2003,Percent,65.7
Azerbaijan,Male 15+ yr,2002,Percent,65.5
Azerbaijan,Male 15+ yr,2001,Percent,65.8
Azerbaijan,Male 15+ yr,2000,Percent,65.7
Azerbaijan,Male 15+ yr,1999,Percent,65.9
Azerbaijan,Male 15+ yr,1998,Percent,65.5
Azerbaijan,Male 15+ yr,1997,Percent,66.1
Azerbaijan,Male 15+ yr,1996,Percent,65.6
Azerbaijan,Male 15+ yr,1995,Percent,65.4
Azerbaijan,Male 15+ yr,1994,Percent,66.3
Azerbaijan,Male 15+ yr,1993,Percent,65.7
Azerbaijan,Male 15+ yr,1992,Percent,65.6
Azerbaijan,Male 15+ yr,1991,Percent,65.4
Bahamas,Female 15+ yr,2006,Percent,57.2
Bahamas,Female 15+ yr,2005,Percent,57.1
Bahamas,Female 15+ yr,2004,Percent,57.2
Bahamas,Female 15+ yr,2003,Percent,56.6
Bahamas,Female 15+ yr,2002,Percent,58.2
Bahamas,Female 15+ yr,2001,Percent,59.5
Bahamas,Female 15+ yr,2000,Percent,59.2
Bahamas,Female 15+ yr,1999,Percent,58.4
Bahamas,Female 15+ yr,1998,Percent,58.3
Bahamas,Female 15+ yr,1997,Percent,57.1
Bahamas,Female 15+ yr,1996,Percent,54.9
Bahamas,Female 15+ yr,1995,Percent,56.4
Bahamas,Female 15+ yr,1994,Percent,54.4
Bahamas,Female 15+ yr,1993,Percent,54.7
Bahamas,Female 15+ yr,1992,Percent,52.8
Bahamas,Female 15+ yr,1991,Percent,54.7
Bahamas,Male 15+ yr,2006,Percent,64.6
Bahamas,Male 15+ yr,2005,Percent,64.6
Bahamas,Male 15+ yr,2004,Percent,64.6
Bahamas,Male 15+ yr,2003,Percent,65.4
Bahamas,Male 15+ yr,2002,Percent,66.2
Bahamas,Male 15+ yr,2001,Percent,67.8
Bahamas,Male 15+ yr,2000,Percent,68
Bahamas,Male 15+ yr,1999,Percent,68.6
Bahamas,Male 15+ yr,1998,Percent,68.6
Bahamas,Male 15+ yr,1997,Percent,67.8
Bahamas,Male 15+ yr,1996,Percent,68.6
Bahamas,Male 15+ yr,1995,Percent,68.5
Bahamas,Male 15+ yr,1994,Percent,67.1
Bahamas,Male 15+ yr,1993,Percent,67.2
Bahamas,Male 15+ yr,1992,Percent,66.5
Bahamas,Male 15+ yr,1991,Percent,67.8
Bahrain,Female 15+ yr,2006,Percent,27.4
Bahrain,Female 15+ yr,2005,Percent,27.4
Bahrain,Female 15+ yr,2004,Percent,27.4
Bahrain,Female 15+ yr,2003,Percent,26.7
Bahrain,Female 15+ yr,2002,Percent,26.9
Bahrain,Female 15+ yr,2001,Percent,27.4
Bahrain,Female 15+ yr,2000,Percent,27.5
Bahrain,Female 15+ yr,1999,Percent,27.3
Bahrain,Female 15+ yr,1998,Percent,27.3
Bahrain,Female 15+ yr,1997,Percent,26.9
Bahrain,Female 15+ yr,1996,Percent,26.8
Bahrain,Female 15+ yr,1995,Percent,26.4
Bahrain,Female 15+ yr,1994,Percent,25.9
Bahrain,Female 15+ yr,1993,Percent,25.3
Bahrain,Female 15+ yr,1992,Percent,26.6
Bahrain,Female 15+ yr,1991,Percent,27.2
Bahrain,Male 15+ yr,2006,Percent,83.2
Bahrain,Male 15+ yr,2005,Percent,83.4
Bahrain,Male 15+ yr,2004,Percent,83.4
Bahrain,Male 15+ yr,2003,Percent,83.4
Bahrain,Male 15+ yr,2002,Percent,83.3
Bahrain,Male 15+ yr,2001,Percent,83.2
Bahrain,Male 15+ yr,2000,Percent,83.5
Bahrain,Male 15+ yr,1999,Percent,83.5
Bahrain,Male 15+ yr,1998,Percent,83.6
Bahrain,Male 15+ yr,1997,Percent,83.7
Bahrain,Male 15+ yr,1996,Percent,83.8
Bahrain,Male 15+ yr,1995,Percent,83.9
Bahrain,Male 15+ yr,1994,Percent,84.1
Bahrain,Male 15+ yr,1993,Percent,84.1
Bahrain,Male 15+ yr,1992,Percent,84.2
Bahrain,Male 15+ yr,1991,Percent,84.3
Bangladesh,Female 15+ yr,2006,Percent,50
Bangladesh,Female 15+ yr,2005,Percent,50.2
Bangladesh,Female 15+ yr,2004,Percent,50.5
Bangladesh,Female 15+ yr,2003,Percent,52.2
Bangladesh,Female 15+ yr,2002,Percent,52.6
Bangladesh,Female 15+ yr,2001,Percent,52.8
Bangladesh,Female 15+ yr,2000,Percent,53
Bangladesh,Female 15+ yr,1999,Percent,53.2
Bangladesh,Female 15+ yr,1998,Percent,53.8
Bangladesh,Female 15+ yr,1997,Percent,53.6
Bangladesh,Female 15+ yr,1996,Percent,54
Bangladesh,Female 15+ yr,1995,Percent,55.2
Bangladesh,Female 15+ yr,1994,Percent,56.5
Bangladesh,Female 15+ yr,1993,Percent,57.8
Bangladesh,Female 15+ yr,1992,Percent,59
Bangladesh,Female 15+ yr,1991,Percent,60.2
Bangladesh,Male 15+ yr,2006,Percent,82.6
Bangladesh,Male 15+ yr,2005,Percent,82.7
Bangladesh,Male 15+ yr,2004,Percent,82.8
Bangladesh,Male 15+ yr,2003,Percent,82.6
Bangladesh,Male 15+ yr,2002,Percent,83.3
Bangladesh,Male 15+ yr,2001,Percent,83.6
Bangladesh,Male 15+ yr,2000,Percent,83.9
Bangladesh,Male 15+ yr,1999,Percent,84.5
Bangladesh,Male 15+ yr,1998,Percent,85.3
Bangladesh,Male 15+ yr,1997,Percent,85.4
Bangladesh,Male 15+ yr,1996,Percent,86
Bangladesh,Male 15+ yr,1995,Percent,85.9
Bangladesh,Male 15+ yr,1994,Percent,85.9
Bangladesh,Male 15+ yr,1993,Percent,85.9
Bangladesh,Male 15+ yr,1992,Percent,85.8
Bangladesh,Male 15+ yr,1991,Percent,85.8
Barbados,Female 15+ yr,2006,Percent,57.2
Barbados,Female 15+ yr,2005,Percent,57.5
Barbados,Female 15+ yr,2004,Percent,57.6
Barbados,Female 15+ yr,2003,Percent,58.3
Barbados,Female 15+ yr,2002,Percent,58.5
Barbados,Female 15+ yr,2001,Percent,58.9
Barbados,Female 15+ yr,2000,Percent,59.1
Barbados,Female 15+ yr,1999,Percent,57.7
Barbados,Female 15+ yr,1998,Percent,55.4
Barbados,Female 15+ yr,1997,Percent,53.8
Barbados,Female 15+ yr,1996,Percent,54.5
Barbados,Female 15+ yr,1995,Percent,50.5
Barbados,Female 15+ yr,1994,Percent,46.3
Barbados,Female 15+ yr,1993,Percent,45
Barbados,Female 15+ yr,1992,Percent,46.4
Barbados,Female 15+ yr,1991,Percent,48.8
Barbados,Male 15+ yr,2006,Percent,72.6
Barbados,Male 15+ yr,2005,Percent,72.8
Barbados,Male 15+ yr,2004,Percent,72.9
Barbados,Male 15+ yr,2003,Percent,71.1
Barbados,Male 15+ yr,2002,Percent,71.9
Barbados,Male 15+ yr,2001,Percent,72.3
Barbados,Male 15+ yr,2000,Percent,72.7
Barbados,Male 15+ yr,1999,Percent,72.4
Barbados,Male 15+ yr,1998,Percent,71.7
Barbados,Male 15+ yr,1997,Percent,69.7
Barbados,Male 15+ yr,1996,Percent,68.9
Barbados,Male 15+ yr,1995,Percent,66.3
Barbados,Male 15+ yr,1994,Percent,64.4
Barbados,Male 15+ yr,1993,Percent,60.8
Barbados,Male 15+ yr,1992,Percent,61.7
Barbados,Male 15+ yr,1991,Percent,66
Belarus,Female 15+ yr,2006,Percent,47.7
Belarus,Female 15+ yr,2005,Percent,47.7
Belarus,Female 15+ yr,2004,Percent,47.9
Belarus,Female 15+ yr,2003,Percent,48.3
Belarus,Female 15+ yr,2002,Percent,48.1
Belarus,Female 15+ yr,2001,Percent,48
Belarus,Female 15+ yr,2000,Percent,47.9
Belarus,Female 15+ yr,1999,Percent,47.7
Belarus,Female 15+ yr,1998,Percent,48.5
Belarus,Female 15+ yr,1997,Percent,49.3
Belarus,Female 15+ yr,1996,Percent,49.5
Belarus,Female 15+ yr,1995,Percent,50.1
Belarus,Female 15+ yr,1994,Percent,50.9
Belarus,Female 15+ yr,1993,Percent,51.8
Belarus,Female 15+ yr,1992,Percent,52.7
Belarus,Female 15+ yr,1991,Percent,53.6
Belarus,Male 15+ yr,2006,Percent,57.5
Belarus,Male 15+ yr,2005,Percent,57.6
Belarus,Male 15+ yr,2004,Percent,57.9
Belarus,Male 15+ yr,2003,Percent,58.6
Belarus,Male 15+ yr,2002,Percent,58.5
Belarus,Male 15+ yr,2001,Percent,58.5
Belarus,Male 15+ yr,2000,Percent,58.7
Belarus,Male 15+ yr,1999,Percent,58.6
Belarus,Male 15+ yr,1998,Percent,60.1
Belarus,Male 15+ yr,1997,Percent,61.5
Belarus,Male 15+ yr,1996,Percent,61.9
Belarus,Male 15+ yr,1995,Percent,62.7
Belarus,Male 15+ yr,1994,Percent,63.7
Belarus,Male 15+ yr,1993,Percent,64.7
Belarus,Male 15+ yr,1992,Percent,65.6
Belarus,Male 15+ yr,1991,Percent,66.4
Belgium,Female 15+ yr,2006,Percent,39.9
Belgium,Female 15+ yr,2005,Percent,40.1
Belgium,Female 15+ yr,2004,Percent,40.1
Belgium,Female 15+ yr,2003,Percent,39.4
Belgium,Female 15+ yr,2002,Percent,39.1
Belgium,Female 15+ yr,2001,Percent,38.8
Belgium,Female 15+ yr,2000,Percent,39.9
Belgium,Female 15+ yr,1999,Percent,38.6
Belgium,Female 15+ yr,1998,Percent,36.5
Belgium,Female 15+ yr,1997,Percent,36.1
Belgium,Female 15+ yr,1996,Percent,35.4
Belgium,Female 15+ yr,1995,Percent,35.4
Belgium,Female 15+ yr,1994,Percent,35
Belgium,Female 15+ yr,1993,Percent,35.1
Belgium,Female 15+ yr,1992,Percent,35
Belgium,Female 15+ yr,1991,Percent,33.8
Belgium,Male 15+ yr,2006,Percent,55.6
Belgium,Male 15+ yr,2005,Percent,55.5
Belgium,Male 15+ yr,2004,Percent,56.1
Belgium,Male 15+ yr,2003,Percent,55.6
Belgium,Male 15+ yr,2002,Percent,56.4
Belgium,Male 15+ yr,2001,Percent,56.9
Belgium,Male 15+ yr,2000,Percent,58.1
Belgium,Male 15+ yr,1999,Percent,56.6
Belgium,Male 15+ yr,1998,Percent,55.9
Belgium,Male 15+ yr,1997,Percent,56.2
Belgium,Male 15+ yr,1996,Percent,56.3
Belgium,Male 15+ yr,1995,Percent,56.6
Belgium,Male 15+ yr,1994,Percent,56.3
Belgium,Male 15+ yr,1993,Percent,56.7
Belgium,Male 15+ yr,1992,Percent,58
Belgium,Male 15+ yr,1991,Percent,58.4
Belize,Female 15+ yr,2006,Percent,36.3
Belize,Female 15+ yr,2005,Percent,35.6
Belize,Female 15+ yr,2004,Percent,35.8
Belize,Female 15+ yr,2003,Percent,35.3
Belize,Female 15+ yr,2002,Percent,34.8
Belize,Female 15+ yr,2001,Percent,34.3
Belize,Female 15+ yr,2000,Percent,32.3
Belize,Female 15+ yr,1999,Percent,29.4
Belize,Female 15+ yr,1998,Percent,29.3
Belize,Female 15+ yr,1997,Percent,29
Belize,Female 15+ yr,1996,Percent,29.3
Belize,Female 15+ yr,1995,Percent,29.4
Belize,Female 15+ yr,1994,Percent,30.2
Belize,Female 15+ yr,1993,Percent,29.3
Belize,Female 15+ yr,1992,Percent,27.9
Belize,Female 15+ yr,1991,Percent,27.1
Belize,Male 15+ yr,2006,Percent,76.7
Belize,Male 15+ yr,2005,Percent,76.3
Belize,Male 15+ yr,2004,Percent,76.1
Belize,Male 15+ yr,2003,Percent,76
Belize,Male 15+ yr,2002,Percent,76
Belize,Male 15+ yr,2001,Percent,76.7
Belize,Male 15+ yr,2000,Percent,75.5
Belize,Male 15+ yr,1999,Percent,75.2
Belize,Male 15+ yr,1998,Percent,73.4
Belize,Male 15+ yr,1997,Percent,75
Belize,Male 15+ yr,1996,Percent,72.9
Belize,Male 15+ yr,1995,Percent,73.4
Belize,Male 15+ yr,1994,Percent,73.5
Belize,Male 15+ yr,1993,Percent,75.4
Belize,Male 15+ yr,1992,Percent,75.2
Belize,Male 15+ yr,1991,Percent,75.6
Benin,Female 15+ yr,2006,Percent,49
Benin,Female 15+ yr,2005,Percent,49.1
Benin,Female 15+ yr,2004,Percent,49.3
Benin,Female 15+ yr,2003,Percent,49.4
Benin,Female 15+ yr,2002,Percent,49.8
Benin,Female 15+ yr,2001,Percent,50.3
Benin,Female 15+ yr,2000,Percent,50.7
Benin,Female 15+ yr,1999,Percent,51
Benin,Female 15+ yr,1998,Percent,51.2
Benin,Female 15+ yr,1997,Percent,51.6
Benin,Female 15+ yr,1996,Percent,51.8
Benin,Female 15+ yr,1995,Percent,52.2
Benin,Female 15+ yr,1994,Percent,52.2
Benin,Female 15+ yr,1993,Percent,52.6
Benin,Female 15+ yr,1992,Percent,52.6
Benin,Female 15+ yr,1991,Percent,52.8
Benin,Male 15+ yr,2006,Percent,77.9
Benin,Male 15+ yr,2005,Percent,78
Benin,Male 15+ yr,2004,Percent,78.2
Benin,Male 15+ yr,2003,Percent,78.2
Benin,Male 15+ yr,2002,Percent,78.6
Benin,Male 15+ yr,2001,Percent,79
Benin,Male 15+ yr,2000,Percent,79.3
Benin,Male 15+ yr,1999,Percent,79.7
Benin,Male 15+ yr,1998,Percent,79.9
Benin,Male 15+ yr,1997,Percent,80.2
Benin,Male 15+ yr,1996,Percent,80.4
Benin,Male 15+ yr,1995,Percent,80.8
Benin,Male 15+ yr,1994,Percent,80.7
Benin,Male 15+ yr,1993,Percent,81.1
Benin,Male 15+ yr,1992,Percent,80.8
Benin,Male 15+ yr,1991,Percent,81
Bhutan,Female 15+ yr,2006,Percent,43.4
Bhutan,Female 15+ yr,2005,Percent,39.7
Bhutan,Female 15+ yr,2004,Percent,37.6
Bhutan,Female 15+ yr,2003,Percent,33.4
Bhutan,Female 15+ yr,2002,Percent,33.2
Bhutan,Female 15+ yr,2001,Percent,32
Bhutan,Female 15+ yr,2000,Percent,31.5
Bhutan,Female 15+ yr,1999,Percent,30.8
Bhutan,Female 15+ yr,1998,Percent,29.8
Bhutan,Female 15+ yr,1997,Percent,28.7
Bhutan,Female 15+ yr,1996,Percent,28.5
Bhutan,Female 15+ yr,1995,Percent,27.8
Bhutan,Female 15+ yr,1994,Percent,27.5
